Feature,Mutual_Info_Score
ENTPD8 (377841),0.16312582565974765
WWP2 (11060),0.1613137640235882
ETV1 (2115),0.16045483270425942
RAB27A (5873),0.1579967642610276
XAGE1A (653220),0.15417732894513003
HERC4 (26091),0.15046498923011686
CBARP (255057),0.14766793513146714
TOPBP1 (11073),0.14726813451354426
EIF3C (8663),0.14324822456150654
COL4A2 (1284),0.14305273911738192
NACC2 (138151),0.13881205716548983
ATP8B3 (148229),0.13090441366072936
GATA6 (2627),0.13059536982142816
BTBD2 (55643),0.13033965330833253
ANXA2 (302),0.12854204820203385
IKZF1 (10320),0.12827225738812897
JCHAIN (3512),0.1279774128755693
IMPG1 (3617),0.127655517161136
LHB (3972),0.12764355209300948
ZFHX2 (85446),0.127518185868289
RAD9A (5883),0.1250976833661248
ANKIB1 (54467),0.12494386059874207
PCDHB4 (56131),0.1248240251986541
MYO1B (4430),0.12373810357704995
LDHB (3945),0.12335747600256042
APCDD1L (164284),0.12332965163160603
NIP7 (51388),0.12286702554032036
KLHL8 (57563),0.12200873838313209
FBLN7 (129804),0.12197684075365389
PRRX1 (5396),0.12026766098919284
SMLR1 (100507203),0.11985796956577444
TBC1D25 (4943),0.11963911823039775
ZC3H13 (23091),0.11928040892416503
GVQW3 (100506127),0.11839681315675055
EIF2B3 (8891),0.11779280989172003
MN1 (4330),0.11709473373838808
DUSP23 (54935),0.11688628223055542
RHOBTB1 (9886),0.11656474538282158
SLC35C2 (51006),0.11590983149199774
RASSF8 (11228),0.11529001033329989
LRIG2 (9860),0.1149601230308761
MKRN3 (7681),0.1145463210773312
IQUB (154865),0.11410716896834794
HNMT (3176),0.11313157395832496
CCDC59 (29080),0.11304924718043718
HERPUD2 (64224),0.1118766852501798
POGLUT2 (79070),0.11149002095649951
HNRNPD (3184),0.11141313630209293
TIMM50 (92609),0.1106437626735004
AURKAIP1 (54998),0.11050545795021982
SHISAL2A (348378),0.11046723872992059
HAND1 (9421),0.11044649849381072
C1QTNF4 (114900),0.11039812725815779
TUBGCP6 (85378),0.11029737529467587
GPATCH3 (63906),0.1102283059844984
CYP2D6 (1565),0.11011833749322486
GPR1 (2825),0.11009586819976969
LGALS9B (284194),0.10986210557984633
PSG6 (5675),0.10935397923307866
CENPC (1060),0.10931945908148277
RBM24 (221662),0.10929142424015437
SPATA5L1 (79029),0.10922241617586392
GNAZ (2781),0.10914490569718405
CRACD (57482),0.10900808089036529
CTAGE8 (100142659),0.10887584159921504
SRSF7 (6432),0.1085984630245127
GPR137 (56834),0.10805122568205583
SOX13 (9580),0.10777109861029821
CPM (1368),0.1076227992191332
NBPF15 (284565),0.10740676000421479
ADNP (23394),0.10707368873243261
CTDNEP1 (23399),0.10695421196131738
OLFML2B (25903),0.10692938378205463
FIGN (55137),0.1067891406390129
DDX39A (10212),0.10633436691925491
IGIP (492311),0.10608852070986519
SFSWAP (6433),0.10593140166417614
SYCP2 (10388),0.10585224554072425
MRPL2 (51069),0.10552072846745109
MITF (4286),0.10497079505882434
KLF4 (9314),0.10492464680055047
NPM3 (10360),0.10487771469673168
ARHGAP44 (9912),0.10480886501936082
LIMA1 (51474),0.1045938828008639
GREB1 (9687),0.10454392682516822
OXCT2 (64064),0.10437448094662383
SLF1 (84250),0.10436029641714661
PPARG (5468),0.10418385655275308
RSRP1 (57035),0.10415882819683775
DRG1 (4733),0.10406899286076765
SPATA12 (353324),0.1037916039370752
RIMS4 (140730),0.1034290756217584
C7orf26 (79034),0.10341378579238558
CHURC1 (91612),0.10336337358499126
STAG3 (10734),0.10324025143457627
SPTLC3 (55304),0.10286017282568638
PIM2 (11040),0.10277222198808866
FAM222B (55731),0.10260580715545986
ZNF572 (137209),0.10249742521959249
LETMD1 (25875),0.10233744839771175
PLPPR2 (64748),0.10227053718307433
SOX30 (11063),0.10219263003947265
ZNF219 (51222),0.10217360320050162
CFAP70 (118491),0.10213995193479075
EBF3 (253738),0.10175949250132588
SPATA7 (55812),0.10172410152021216
ZNF155 (7711),0.10170201258734846
MAF1 (84232),0.10154261594922387
GLB1L2 (89944),0.10149944580204684
B2M (567),0.10138021093104754
CLEC18A (348174),0.10136747787291922
GRSF1 (2926),0.10126526407495717
PTPRB (5787),0.10121257654754778
NAA38 (84316),0.10098832373123834
TNFRSF1B (7133),0.10092909069804801
ACOX3 (8310),0.10065448342860472
JADE1 (79960),0.10052333666232238
COL6A2 (1292),0.10015143016895767
DDX24 (57062),0.10004307691723602
TMEM191B (728229),0.10001236903430533
HEATR3 (55027),0.09999988676698335
IGFALS (3483),0.09998552132937943
JAK2 (3717),0.09973051506051434
JPH2 (57158),0.09968880915651779
GOLT1A (127845),0.09968708838551965
LRRC3 (81543),0.09941311162145983
SHOC1 (158401),0.09939705747304428
TXNDC16 (57544),0.09934991570302909
PRDX4 (10549),0.09931223898545083
EPS15L1 (58513),0.09925938369049314
ITGB5 (3693),0.0991538416524258
MTMR3 (8897),0.09915298381055138
FGFRL1 (53834),0.09913604920829888
CACUL1 (143384),0.0989342053254263
SLC19A2 (10560),0.0986177060098874
HSD17B13 (345275),0.09860843579267486
SIGIRR (59307),0.09829825478841503
CDKAL1 (54901),0.09829589547943396
TRIM8 (81603),0.09809164397105263
SMN1 (6606),0.09791943974416162
CD200R1 (131450),0.09790600886163814
PODXL (5420),0.09778807313113091
PSG5 (5673),0.09759452608375074
BORCS6 (54785),0.09744326038139528
GBP2 (2634),0.0973266798386283
MAP3K4 (4216),0.09713830733999007
ASPRV1 (151516),0.09678560487856602
TTC30B (150737),0.09677785218770474
