Feature,Mutual_Info_Score
RIMS4 (140730),0.14025693320324573
PPP1R9A (55607),0.13089704864461993
MAGEA4 (4103),0.1285383480765101
JPH2 (57158),0.12830134908002355
COL4A2 (1284),0.1262174852694864
MN1 (4330),0.12551954524082642
NUP210 (23225),0.12495244542411665
ZIC2 (7546),0.12275844956442405
PTPRK (5796),0.12120060251678622
RCOR2 (283248),0.11946257773116509
ZDHHC11B (653082),0.11900358040993719
CRACD (57482),0.11737654611947868
IRF8 (3394),0.11442992853534806
STK32B (55351),0.11315275096371513
CXCL2 (2920),0.11240800182329025
TRANK1 (9881),0.11169047488407946
ABHD2 (11057),0.11036631584920498
GABARAPL1 (23710),0.1100312908469867
MARCKS (4082),0.10672195956523467
MYBL2 (4605),0.10499300011204626
TFAP2C (7022),0.10448326154783905
NETO2 (81831),0.10441336440520921
NRP2 (8828),0.10306719317998736
PXMP4 (11264),0.10250665843743612
ANXA2 (302),0.10231415692278922
PYCARD (29108),0.10174222876179817
RAB27A (5873),0.10170988990761387
SMAD3 (4088),0.10169975073604354
LRRC6 (23639),0.10140280249406386
GPR1 (2825),0.10104213566959253
CCN4 (8840),0.1004014052510529
TRAM2 (9697),0.10032892372036173
SHISAL1 (85352),0.10012587363429981
DOCK5 (80005),0.09939346583290654
PTHLH (5744),0.09931335112927542
ZNF219 (51222),0.09921405763074809
ATXN1 (6310),0.09875561354283713
ZNF256 (10172),0.09868693696087183
PTPRH (5794),0.09819184746085918
ABCA5 (23461),0.09783207728151089
SLC1A1 (6505),0.09762603591541952
PPL (5493),0.097464948582755
SLC9A7 (84679),0.097257161664142
PDZK1 (5174),0.09674671686166736
ATG9B (285973),0.0964526963175163
MAP3K21 (84451),0.09644826731830358
MX2 (4600),0.09628856124392149
ST6GALNAC5 (81849),0.09599455202483798
TENM2 (57451),0.09586420851300392
TMEM216 (51259),0.09565160142287876
IFIH1 (64135),0.09558934943608444
KIAA1671 (85379),0.09458357818052754
CCDC88C (440193),0.09392824790788223
PAGE5 (90737),0.09371107526026234
SH3BGRL3 (83442),0.09336561442604863
IL22RA1 (58985),0.09323580061859493
STX1A (6804),0.09231871856765039
PIK3R1 (5295),0.0922694423238033
CYP4V2 (285440),0.0922254724080096
S100A16 (140576),0.09213860926574613
ARID3A (1820),0.09192671298881416
YAP1 (10413),0.09169018701445131
CEACAM19 (56971),0.09165771616569307
STPG4 (285051),0.09148250384565904
ANGPT1 (284),0.09093001585735827
RNF144B (255488),0.09047052713908288
CYRIA (81553),0.08994022035967708
APBB1IP (54518),0.08964725921714756
NR3C1 (2908),0.08948449170979611
AP1S3 (130340),0.08887635586252296
DCBLD2 (131566),0.08884070012705836
RAB20 (55647),0.08857045882426329
PERP (64065),0.08840987189805327
PAX9 (5083),0.0883818373470251
DGKG (1608),0.08782326983273592
CCDC3 (83643),0.08769783791720887
PPARG (5468),0.08764819925695022
BEX2 (84707),0.08747425589836233
OLFML2B (25903),0.08735838320720513
TNFAIP6 (7130),0.08728630122019077
RAB11FIP1 (80223),0.08728375268607769
GRB14 (2888),0.08722351978893617
MAGEA12 (4111),0.08716760603839502
SPART (23111),0.08707333317159671
H2BC11 (8970),0.08700649552542927
PNMA5 (114824),0.08685803411982085
FAM216A (29902),0.08679383733799106
NPY (4852),0.08629390120622649
HHIP (64399),0.08624465904396628
SPSB1 (80176),0.08609009322035499
NLGN2 (57555),0.08601659270132656
HNMT (3176),0.08599077557944446
LAMA3 (3909),0.08578942867125106
SEMA3A (10371),0.08578561913659222
FGFBP1 (9982),0.08548590312002524
PARP6 (56965),0.0852797908969376
INHBA (3624),0.08521057279845046
NRG4 (145957),0.08517084679490328
OLFM2 (93145),0.08510009993659517
PDLIM4 (8572),0.08464150765829404
B4GALNT4 (338707),0.08444962041055915
PTPN13 (5783),0.08435618050684646
PAK1 (5058),0.08398919805993321
CA8 (767),0.08376195176459733
FBLN7 (129804),0.08374212665639824
PRR5 (55615),0.0837244414572007
IFFO1 (25900),0.08358970594866255
EYA4 (2070),0.08348359476074618
CCDC71L (168455),0.08331626882248067
PDE3A (5139),0.08308995742630998
ITGB5 (3693),0.08299713904011519
PLS1 (5357),0.08291643828673223
TPD52L1 (7164),0.08276474507803311
ADCY7 (113),0.08243854212888646
FBXO32 (114907),0.08239435182287602
PRAG1 (157285),0.08204557765788412
PDCD4 (27250),0.08183832080631159
GPNMB (10457),0.08137469308402645
BNC1 (646),0.08133280466149051
TMEM45B (120224),0.0812292461914157
GREB1 (9687),0.08118082654504333
SH3TC1 (54436),0.08074782571284977
FAM167B (84734),0.08061893033031131
SAMHD1 (25939),0.08043032061264954
KLHL13 (90293),0.08039969371891464
DLX3 (1747),0.08023448649924525
CDK15 (65061),0.08010994904417013
TTC28 (23331),0.0796581250097006
NCEH1 (57552),0.07942148742049904
ETV1 (2115),0.07940041523074992
ADGRF4 (221393),0.07909884448474758
KDELR3 (11015),0.0789963577397299
DIPK1B (138311),0.07846456353311382
OSBPL10 (114884),0.07843939763654628
RGS1 (5996),0.07837751522224679
NR0B1 (190),0.0783255613894056
FAM171B (165215),0.0782904981492818
PHLDA2 (7262),0.07821412675338868
CNTNAP3B (728577),0.07816265393211097
H2AC13 (8329),0.07808590634487445
TREX1 (11277),0.07778155607331971
APOL6 (80830),0.07775317752818234
ANKRD13B (124930),0.07762886707441119
HLA-A (3105),0.07734362404731776
SPTLC3 (55304),0.07715417725909557
SMPDL3A (10924),0.07713168563936712
KRCC1 (51315),0.07683970078903712
MTUS1 (57509),0.076754763800849
EHF (26298),0.07640971146888553
